Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name,Macro_Sentiment_Multiplier,Systemic_Risk_Off,Combined_Score,Base_Rank_Score
COFORGE,1375.2,WAIT,50.4,0.38,3.8 days,77.6,Strong Revenue Growth (30.5%) | High ROE (18.6%) | Low Leverage (D/E: 0.08),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,18.3,MC Target Prob: 4.7% | Model Predicts Positive Return | Expected Horizon: 3.8d,0.05,0.46,0.007,62094.0,66.8,66.7,25.0,100.0,100.0,55.0,NO,YES,YES,Breakdown,10.0,-30.31,28.06,1973.19,1073.9,58.7,55.3,32.0,4.94,18.6,30.5,0.08,Nifty IT,0.0,False,55.3,55.3
COLPAL,2139.0,AVOID,41.7,0.29,4.3 days,70.7,High ROE (81.6%) | Low Leverage (D/E: 0.03) | Healthy Margins (22.0%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.3,MC Target Prob: 0.4% | Expected Horizon: 4.3d,0.0,0.35,-0.0794,55928.0,80.8,60.0,55.0,35.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-19.39,19.58,2653.67,1788.7,54.5,53.4,42.2,35.31,81.6,9.1,0.03,Nifty FMCG,0.0,False,53.4,53.4
DABUR,473.45,AVOID,39.3,0.28,4.4 days,64.3,High ROE (16.2%) | Low Leverage (D/E: 0.11) | Healthy Margins (14.4%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.1,MC Target Prob: 0.1% | Expected Horizon: 4.4d,0.0,0.32,-0.0064,75907.0,63.8,46.7,55.0,70.0,100.0,70.0,NO,NO,YES,Breakdown,10.0,-13.89,15.35,549.8,410.45,60.7,46.6,40.2,6.64,16.2,7.3,0.11,Nifty FMCG,0.0,False,46.6,46.6
DLF,590.25,SELL,16.6,0.12,3.9 days,-1.8,Low Leverage (D/E: 0.01) | Healthy Margins (53.9%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,1.2,MC Target Prob: 1.7% | Expected Horizon: 3.9d,0.02,0.46,-0.0151,139410.0,72.8,90.0,55.0,10.0,100.0,100.0,NO,YES,YES,Forming Trough 2,55.0,-32.46,17.09,873.96,504.1,43.4,33.5,31.6,3.07,10.0,-42.0,0.01,Nifty Realty,0.0,False,33.5,33.5
EICHERMOT,7202.5,WAIT,59.1,0.4,4.3 days,85.0,Strong Revenue Growth (19.1%) | High ROE (23.8%) | Low Leverage (D/E: 0.02) | Healthy Margins (23.6%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.4,MC Target Prob: 0.6% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.01,0.31,0.0136,198173.0,91.8,50.0,55.0,90.0,100.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-12.06,37.44,8190.0,5240.55,48.0,68.9,35.9,7.89,23.8,19.1,0.02,Nifty Auto,0.0,False,68.9,68.9
EMAMILTD,444.55,AVOID,38.0,0.28,3.8 days,58.5,High ROE (27.6%) | Low Leverage (D/E: 0.06) | Healthy Margins (20.5%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,1.9,MC Target Prob: 2.7% | Expected Horizon: 3.8d,0.03,0.47,-0.0243,17235.0,64.2,80.0,65.0,10.0,100.0,70.0,YES,NO,NO,None,0.0,-28.67,13.09,623.21,393.1,44.8,45.9,22.2,5.89,27.6,-3.9,0.06,Nifty FMCG,0.0,False,45.9,45.9
EXIDEIND,352.7,AVOID,39.1,0.28,4.0 days,62.8,Low Leverage (D/E: 0.11),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.9,MC Target Prob: 1.3% | Expected Horizon: 4.0d,0.01,0.43,-0.0444,32840.0,67.5,46.7,70.0,70.0,100.0,70.0,NO,NO,NO,None,0.0,-17.47,22.51,427.35,287.9,60.4,47.6,38.4,2.36,6.2,9.2,0.11,Nifty Auto,0.0,False,47.6,47.6
FEDERALBNK,292.45,WAIT,61.5,0.41,4.3 days,91.6,Low Leverage (D/E: 0.00) | Healthy Margins (29.9%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.5,MC Target Prob: 0.8% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.01,0.3,0.0059,76686.0,89.0,43.3,70.0,90.0,70.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-2.47,57.56,299.85,185.61,44.8,69.8,17.8,1.92,11.7,12.3,0.0,Nifty Private Bank,0.0,False,69.8,69.8
GODREJCP,1005.9,SELL,28.7,0.21,4.2 days,64.3,High ROE (15.1%) | Low Leverage (D/E: 0.35) | Healthy Margins (12.3%),20.0,Neutral Setup,0.4,MC Target Prob: 0.5% | Expected Horizon: 4.2d,0.01,0.38,-0.0277,105149.0,63.5,80.0,40.0,60.0,70.0,70.0,YES,NO,YES,Breakdown,10.0,-21.2,2.65,1276.52,979.93,25.8,39.1,56.3,8.3,15.1,8.4,0.35,Nifty FMCG,0.0,False,39.1,39.1
GODREJPROP,1794.3,AVOID,48.3,0.32,3.6 days,87.0,Strong Revenue Growth (63.0%) | Low Leverage (D/E: 0.82) | Healthy Margins (36.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.9,MC Target Prob: 4.2% | Expected Horizon: 3.6d,0.04,0.52,-0.0512,49446.0,70.8,60.0,55.0,100.0,100.0,40.0,NO,NO,NO,None,0.0,-27.28,21.95,2467.3,1471.3,49.0,55.0,26.7,2.58,10.0,63.0,0.82,Nifty Realty,0.0,False,55.0,55.0
HCLTECH,1194.9,AVOID,36.7,0.27,4.3 days,72.4,High ROE (23.4%) | Low Leverage (D/E: 0.07) | Healthy Margins (12.8%),20.0,Neutral Setup,15.3,MC Target Prob: 0.4% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.0,0.35,0.0083,306320.0,49.0,63.3,55.0,35.0,35.0,40.0,YES,NO,NO,None,0.0,-29.59,0.97,1697.11,1183.4,14.7,40.4,18.5,4.02,23.4,5.3,0.07,Nifty IT,0.0,False,40.4,40.4
HDFCBANK,763.65,AVOID,32.2,0.22,4.5 days,74.8,Low Leverage (D/E: 0.00) | Healthy Margins (26.8%),20.0,Neutral Setup,0.0,MC Target Prob: 0.0% | Expected Horizon: 4.5d,0.0,0.26,-0.0259,1149965.0,66.0,80.0,70.0,35.0,70.0,70.0,YES,NO,NO,None,0.0,-24.61,4.39,1012.9,731.55,30.4,42.3,16.7,1.96,13.8,-1.8,0.0,Nifty Private Bank,0.0,False,42.3,42.3
HEROMOTOCO,5228.5,WAIT,52.0,0.39,4.2 days,85.5,Strong Revenue Growth (30.2%) | High ROE (28.0%) | Low Leverage (D/E: 0.04) | Healthy Margins (12.1%),38.0,Constructive RSI (Neutral-Bullish),30.4,MC Target Prob: 0.6% | Model Predicts +2.5% (10d) | Expected Horizon: 4.2d,0.01,0.35,0.0246,97179.0,74.0,50.0,65.0,100.0,85.0,100.0,NO,NO,YES,Breakdown,10.0,-16.06,42.38,6229.09,3672.31,48.3,58.6,16.9,4.5,28.0,30.2,0.04,Nifty Auto,0.0,False,58.6,58.6
HINDUNILVR,2307.2,AVOID,39.2,0.28,4.5 days,64.0,High ROE (21.6%) | Low Leverage (D/E: 0.03) | Healthy Margins (23.3%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.1,MC Target Prob: 0.1% | Expected Horizon: 4.5d,0.0,0.25,-0.0117,509744.0,90.2,70.0,55.0,67.5,100.0,70.0,YES,NO,YES,Confirmed Bounce,70.0,-13.64,12.43,2671.6,2052.2,49.6,54.5,48.0,10.46,21.6,4.3,0.03,Nifty FMCG,0.0,False,54.5,54.5
ICICIBANK,1266.4,AVOID,41.0,0.23,4.6 days,100.0,Strong Revenue Growth (66.9%) | High ROE (16.4%) | Low Leverage (D/E: 0.00) | Healthy Margins (24.9%),20.0,Neutral Setup,0.0,MC Target Prob: 0.0% | Expected Horizon: 4.6d,0.0,0.24,-0.0367,927428.0,71.5,63.3,55.0,80.0,85.0,100.0,YES,NO,NO,None,0.0,-14.27,5.02,1477.2,1205.9,18.9,50.2,17.3,2.55,16.4,66.9,0.0,Nifty Private Bank,0.0,False,50.2,50.2
IDFCFIRSTB,69.22,AVOID,45.4,0.41,4.0 days,50.5,Low Leverage (D/E: 0.00) | Healthy Margins (32.8%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,31.3,MC Target Prob: 1.8% | Model Predicts +4.5% (10d) | Expected Horizon: 4.0d,0.02,0.41,0.045,62868.0,53.6,60.0,52.5,10.0,100.0,55.0,NO,NO,YES,Breakdown,10.0,-19.58,17.62,86.07,58.85,54.7,47.9,38.8,1.34,0.0,-1.1,0.0,Nifty Private Bank,0.0,False,47.9,47.9
INDUSINDBK,922.3,WAIT,50.6,0.38,3.7 days,58.5,Strong Revenue Growth (272.7%) | Low Leverage (D/E: 0.00),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,17.6,MC Target Prob: 3.7% | Model Predicts Positive Return | Expected Horizon: 3.7d,0.04,0.49,0.0001,68871.0,79.6,38.3,52.5,65.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-4.39,29.4,964.6,712.75,65.9,59.3,77.3,1.05,1.4,272.7,0.0,Nifty Private Bank,0.0,False,59.3,59.3
INFY,1177.0,AVOID,38.2,0.28,4.2 days,76.7,High ROE (31.4%) | Low Leverage (D/E: 0.10) | Healthy Margins (16.4%),20.0,Neutral Setup,15.3,MC Target Prob: 0.4% | Model Predicts Positive Return | Expected Horizon: 4.2d,0.0,0.38,0.0103,463687.0,73.2,100.0,65.0,70.0,50.0,55.0,YES,YES,NO,None,0.0,-30.35,2.16,1689.8,1152.1,25.6,48.7,15.1,4.97,31.4,6.6,0.1,Nifty IT,0.0,False,48.7,48.7
ITC,305.85,AVOID,38.8,0.28,4.5 days,63.0,High ROE (29.3%) | Low Leverage (D/E: 0.03) | Healthy Margins (26.2%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.0,MC Target Prob: 0.0% | Expected Horizon: 4.5d,0.0,0.26,-0.0164,355398.0,72.2,80.0,65.0,10.0,100.0,100.0,YES,NO,YES,Forming Trough 2,55.0,-28.2,6.31,425.96,287.7,44.4,48.8,17.2,4.9,29.3,-5.0,0.03,Nifty FMCG,0.0,False,48.8,48.8
KOTAKBANK,381.05,AVOID,35.2,0.26,4.4 days,52.5,Low Leverage (D/E: 0.00) | Healthy Margins (26.0%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.1,MC Target Prob: 0.2% | Expected Horizon: 4.4d,0.0,0.28,-0.0068,386022.0,66.0,70.0,70.0,35.0,70.0,100.0,YES,NO,YES,Breakdown,10.0,-14.44,7.82,445.35,353.4,48.8,44.4,20.0,2.13,11.4,-11.0,0.0,Nifty Private Bank,0.0,False,44.4,44.4
LODHA,931.1,AVOID,44.3,0.31,3.6 days,74.6,High ROE (15.7%) | Low Leverage (D/E: 0.42) | Healthy Margins (20.6%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,3.9,MC Target Prob: 5.5% | Expected Horizon: 3.6d,0.06,0.52,-0.0624,86106.0,64.8,56.7,55.0,60.0,100.0,70.0,NO,YES,NO,None,0.0,-38.38,37.53,1511.02,677.0,60.0,50.4,25.2,3.7,15.7,7.6,0.42,Nifty Realty,0.0,False,50.4,50.4
M&M,3245.9,AVOID,49.0,0.37,4.1 days,75.9,Strong Revenue Growth (30.9%) | High ROE (18.8%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,16.1,MC Target Prob: 1.6% | Model Predicts Positive Return | Expected Horizon: 4.1d,0.02,0.38,0.0097,354525.0,100.0,70.0,65.0,100.0,100.0,100.0,YES,NO,YES,Confirmed Bounce,80.0,-14.64,10.74,3802.4,2931.1,49.9,64.3,19.4,3.54,18.8,30.9,1.25,Nifty Auto,0.0,False,64.3,64.3
MARICO,842.55,AVOID,46.3,0.31,4.5 days,74.1,Strong Revenue Growth (22.1%) | High ROE (41.4%) | Low Leverage (D/E: 0.12) | Healthy Margins (12.9%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,0.1,MC Target Prob: 0.1% | Expected Horizon: 4.5d,0.0,0.25,-0.0118,106249.0,73.5,38.3,40.0,90.0,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,0.0,23.89,842.55,680.08,87.8,54.5,60.4,25.05,41.4,22.1,0.12,Nifty FMCG,0.0,False,54.5,54.5
MARUTI,13483.0,AVOID,48.6,0.36,4.4 days,75.8,Strong Revenue Growth (28.2%) | Low Leverage (D/E: 0.00),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.1,MC Target Prob: 0.2% | Model Predicts Positive Return | Expected Horizon: 4.4d,0.0,0.31,0.0181,411018.0,70.8,70.0,55.0,55.0,100.0,100.0,YES,NO,NO,None,0.0,-22.03,12.39,17292.0,11996.16,50.5,55.3,28.0,3.84,14.4,28.2,0.0,Nifty Auto,0.0,False,55.3,55.3
MOTHERSON,130.3,AVOID,48.3,0.32,3.9 days,66.2,Low Leverage (D/E: 0.44),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,3.2,MC Target Prob: 4.5% | Expected Horizon: 3.9d,0.05,0.43,-0.0523,149765.0,75.5,28.3,40.0,90.0,100.0,40.0,NO,NO,YES,Confirmed Bounce,80.0,-3.4,44.79,134.89,89.99,57.6,56.5,38.9,4.06,10.1,14.9,0.44,Nifty Auto,0.0,False,56.5,56.5
MPHASIS,2201.2,AVOID,44.4,0.33,4.0 days,78.4,High ROE (18.3%) | Low Leverage (D/E: 0.24) | Healthy Margins (11.7%),20.0,Neutral Setup,31.4,MC Target Prob: 2.0% | Model Predicts +3.6% (10d) | Expected Horizon: 4.0d,0.02,0.43,0.0359,43846.0,70.2,80.0,40.0,80.0,65.0,55.0,YES,NO,YES,Forming Trough 2,55.0,-26.64,7.51,3000.6,2047.4,29.0,52.1,24.4,4.31,18.3,14.4,0.24,Nifty IT,0.0,False,52.1,52.1
NESTLEIND,1481.9,AVOID,46.9,0.31,4.6 days,75.6,Strong Revenue Growth (23.0%) | High ROE (76.3%) | Low Leverage (D/E: 0.09) | Healthy Margins (15.1%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,0.0,MC Target Prob: 0.0% | Expected Horizon: 4.6d,0.0,0.22,-0.064,277349.0,70.0,28.3,30.0,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,65.0,-0.28,36.76,1486.1,1083.55,84.4,53.8,79.1,53.78,76.3,23.0,0.09,Nifty FMCG,0.0,False,53.8,53.8
OBEROIRLTY,1632.68,AVOID,41.7,0.28,4.0 days,84.9,Strong Revenue Growth (52.1%) | Low Leverage (D/E: 0.16) | Healthy Margins (41.7%),38.0,Constructive RSI (Neutral-Bullish),1.7,MC Target Prob: 2.5% | Expected Horizon: 4.0d,0.02,0.43,-0.0239,57871.0,94.8,70.0,55.0,100.0,100.0,100.0,NO,NO,YES,Neckline Breakout,75.0,-17.51,15.81,1979.26,1409.76,40.9,57.6,23.1,3.46,14.9,52.1,0.16,Nifty Realty,0.0,False,57.6,57.6
OFSS,9239.5,AVOID,43.7,0.29,3.9 days,85.0,Strong Revenue Growth (20.3%) | High ROE (32.6%) | Low Leverage (D/E: 0.00) | Healthy Margins (34.4%),44.0,Overbought RSI | Positive Trend Slope,2.2,MC Target Prob: 3.1% | Expected Horizon: 3.9d,0.03,0.42,-0.0308,82450.0,51.2,20.0,25.0,100.0,100.0,40.0,NO,NO,NO,None,0.0,-2.73,50.81,9498.5,6126.48,86.1,46.0,31.4,10.53,32.6,20.3,0.0,Nifty IT,0.0,False,46.0,46.0
PATANJALI,454.1,AVOID,31.9,0.22,4.1 days,73.5,Low Leverage (D/E: 0.21),20.0,Neutral Setup,0.5,MC Target Prob: 0.7% | Expected Horizon: 4.1d,0.01,0.38,-0.0101,45647.0,81.0,80.0,65.0,90.0,85.0,100.0,YES,NO,YES,Breakdown,10.0,-29.3,0.0,642.29,454.1,35.7,46.6,25.2,3.48,14.8,14.7,0.21,Nifty FMCG,0.0,False,46.6,46.6
PERSISTENT,5098.1,AVOID,43.4,0.33,3.9 days,73.9,Strong Revenue Growth (25.1%) | High ROE (26.3%) | Low Leverage (D/E: 0.06) | Healthy Margins (12.6%),20.0,Neutral Setup,33.0,MC Target Prob: 4.3% | Model Predicts +3.0% (10d) | Expected Horizon: 3.9d,0.04,0.42,0.0299,76991.0,84.8,80.0,25.0,100.0,50.0,70.0,YES,NO,YES,Confirmed Bounce,80.0,-22.05,12.56,6540.04,4529.4,39.3,55.8,41.4,9.84,26.3,25.1,0.06,Nifty IT,0.0,False,55.8,55.8
PHOENIXLTD,1810.9,WAIT,50.7,0.33,3.8 days,73.5,Strong Revenue Growth (33.7%) | Low Leverage (D/E: 0.37) | Healthy Margins (27.7%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.9,MC Target Prob: 4.1% | Expected Horizon: 3.8d,0.04,0.47,-0.0305,63149.0,77.5,38.3,25.0,100.0,85.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-7.17,27.98,1950.8,1415.03,57.3,58.7,50.3,5.75,11.1,33.7,0.37,Nifty Realty,0.0,False,58.7,58.7
PRESTIGE,1455.5,AVOID,42.5,0.35,3.6 days,54.8,Strong Revenue Growth (166.5%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,18.7,MC Target Prob: 5.3% | Model Predicts Positive Return | Expected Horizon: 3.6d,0.05,0.5,0.009,57201.0,62.2,46.7,25.0,100.0,100.0,70.0,NO,NO,NO,None,0.0,-19.32,29.21,1804.02,1126.5,58.5,48.4,47.8,3.51,8.0,166.5,1.05,Nifty Realty,0.0,False,48.4,48.4
RADICO,3489.7,AVOID,46.0,0.42,4.0 days,50.2,Strong Revenue Growth (19.5%) | Low Leverage (D/E: 0.21),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,33.2,MC Target Prob: 4.5% | Model Predicts +5.9% (10d) | Expected Horizon: 4.0d,0.05,0.39,0.0592,46569.0,68.8,28.3,25.0,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,65.0,0.0,43.26,3489.7,2435.87,69.9,52.8,77.0,14.03,0.0,19.5,0.21,Nifty FMCG,0.0,False,52.8,52.8
RBLBANK,337.5,WAIT,53.4,0.39,3.7 days,65.4,Strong Revenue Growth (40.8%) | Low Leverage (D/E: 0.00),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,18.6,MC Target Prob: 5.1% | Model Predicts Positive Return | Expected Horizon: 3.7d,0.05,0.47,0.0121,22110.0,84.9,20.0,67.5,100.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-2.39,72.5,345.75,195.65,59.6,62.8,25.4,1.32,0.0,40.8,0.0,Nifty Private Bank,0.0,False,62.8,62.8
SOBHA,1414.5,AVOID,39.3,0.29,3.7 days,61.4,Strong Revenue Growth (60.2%) | Low Leverage (D/E: 0.22),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.7,MC Target Prob: 3.9% | Expected Horizon: 3.7d,0.04,0.48,-0.0308,13870.0,67.2,46.7,25.0,100.0,100.0,70.0,NO,NO,YES,Forming Trough 2,55.0,-16.85,22.28,1701.2,1156.8,63.6,47.7,71.7,2.94,4.2,60.2,0.22,Nifty Realty,0.0,False,47.7,47.7
SONACOMS,593.55,AVOID,48.8,0.32,3.9 days,69.0,Strong Revenue Growth (45.4%) | Low Leverage (D/E: 0.07) | Healthy Margins (14.4%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,1.9,MC Target Prob: 2.7% | Expected Horizon: 3.9d,0.03,0.45,-0.0231,36653.0,70.8,41.7,25.0,90.0,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,-2.26,46.94,607.25,403.94,54.7,55.4,57.3,6.41,10.7,45.4,0.07,Nifty Auto,0.0,False,55.4,55.4
TATACONSUM,1271.0,AVOID,38.7,0.28,4.4 days,59.0,Strong Revenue Growth (17.9%) | Low Leverage (D/E: 0.12),60.0,Overbought RSI | Positive Trend Slope | Volume Breakout Detected,0.2,MC Target Prob: 0.3% | Expected Horizon: 4.4d,0.0,0.29,-0.0166,109652.0,71.8,38.3,25.0,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,0.0,25.25,1271.0,1014.8,74.2,48.6,71.0,5.39,6.9,17.9,0.12,Nifty FMCG,0.0,False,48.6,48.6
