Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name,Macro_Sentiment_Multiplier,Systemic_Risk_Off,Combined_Score,Base_Rank_Score
ABREL,1378.0,SELL,17.7,0.13,3.5 days,-2.2,Average Fundamentals,56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,4.8,MC Target Prob: 6.9% | Expected Horizon: 3.5d,0.07,0.55,-0.0046,13206.0,56.2,80.0,35.0,30.0,70.0,70.0,NO,YES,NO,None,0.0,-44.88,25.86,2499.86,1094.9,45.6,29.2,0.0,3.57,-8.9,0.0,1.52,Nifty Realty,0.0,False,29.2,29.2
ANANTRAJ,538.55,AVOID,48.7,0.35,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,11.5,MC Target Prob: 16.5% | Expected Horizon: 3.3d,0.16,0.53,-0.0084,18690.0,78.0,36.7,40.0,100.0,100.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-26.79,32.75,735.6,405.7,55.7,57.5,32.9,3.15,11.1,19.6,0.12,Nifty Realty,0.0,False,57.5,57.5
ASHOKLEY,161.52,AVOID,41.2,0.33,4.0 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),20.0,Neutral Setup,32.3,MC Target Prob: 3.3% | Model Predicts +3.4% (10d) | Expected Horizon: 4.0d,0.03,0.41,0.0338,83139.0,93.8,51.7,65.0,100.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-23.78,50.25,211.92,107.5,31.5,57.0,23.9,5.37,21.6,17.4,3.45,Nifty Auto,0.0,False,57.0,57.0
AXISBANK,1272.3,SELL,27.3,0.2,4.3 days,60.7,Low Leverage (D/E: 0.00) | Healthy Margins (35.4%),20.0,Neutral Setup,0.2,MC Target Prob: 0.3% | Expected Horizon: 4.3d,0.0,0.33,-0.03,408817.0,81.2,61.7,70.0,35.0,55.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-9.32,21.73,1403.0,1045.2,25.4,43.5,15.6,1.9,13.2,-11.2,0.0,Nifty Private Bank,0.0,False,43.5,43.5
BAJAJ-AUTO,10595.5,WAIT,53.0,0.33,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.3,MC Target Prob: 0.4% | Expected Horizon: 4.3d,0.0,0.33,-0.0286,283293.0,78.8,28.3,65.0,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,-1.08,41.41,10711.5,7492.61,69.8,60.7,26.4,7.3,28.0,48.8,0.56,Nifty Auto,0.0,False,60.7,60.7
BANDHANBNK,201.23,AVOID,48.0,0.33,3.7 days,74.9,Strong Revenue Growth (119.3%) | Low Leverage (D/E: 0.00) | Healthy Margins (13.0%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,3.9,MC Target Prob: 5.5% | Expected Horizon: 3.7d,0.06,0.48,-0.0468,32182.0,75.6,28.3,52.5,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,-3.66,48.54,208.88,135.47,73.8,56.3,26.3,1.26,4.9,119.3,0.0,Nifty Private Bank,0.0,False,56.3,56.3
BHARATFORG,1987.0,WAIT,52.6,0.38,4.0 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,16.8,MC Target Prob: 2.6% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.03,0.4,0.0086,93189.0,42.2,20.0,25.0,55.0,100.0,40.0,NO,NO,YES,Extended Breakout,40.0,-0.3,83.8,1992.9,1081.04,63.7,49.5,86.5,9.74,11.6,17.5,0.76,Nifty Auto,0.0,False,49.5,49.5
BOSCHLTD,37315.0,AVOID,43.0,0.32,4.2 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),38.0,Constructive RSI (Neutral-Bullish),15.5,MC Target Prob: 0.7% | Model Predicts Positive Return | Expected Horizon: 4.2d,0.01,0.34,0.0036,111456.0,83.5,60.0,40.0,67.5,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-10.07,29.81,41495.0,28745.0,46.6,55.2,40.1,7.51,19.4,18.0,0.01,Nifty Auto,0.0,False,55.2,55.2
BRIGADE,749.65,AVOID,31.3,0.24,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),38.0,Positive Trend Slope,2.2,MC Target Prob: 3.1% | Expected Horizon: 3.7d,0.03,0.5,-0.0324,15856.0,62.0,90.0,50.0,10.0,70.0,100.0,NO,YES,NO,None,0.0,-41.19,18.11,1274.72,634.7,34.8,40.5,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty,0.0,False,40.5,40.5
BRITANNIA,5410.5,SELL,28.5,0.21,4.5 days,64.3,High ROE (53.3%) | Low Leverage (D/E: 0.27) | Healthy Margins (13.2%),20.0,Neutral Setup,0.1,MC Target Prob: 0.1% | Expected Horizon: 4.5d,0.0,0.25,-0.0062,124553.0,74.2,80.0,55.0,80.0,70.0,100.0,YES,NO,YES,Breakdown,10.0,-14.13,2.44,6300.5,5281.78,27.6,42.2,49.1,24.39,53.3,7.9,0.27,Nifty FMCG,0.0,False,42.2,42.2
