Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name
ABREL,1363.7,SELL,14.2,0.11,3.5 days,-2.2,Average Fundamentals,44.0,Overbought RSI | Positive Trend Slope,5.1,MC Target Prob: 7.3% | Expected Horizon: 3.5d,0.07,0.53,-0.0129,13206.0,55.2,66.7,35.0,30.0,100.0,55.0,NO,YES,YES,Breakdown,10.0,-45.45,24.55,2499.86,1094.9,71.5,26.5,0.0,3.57,-8.9,0.0,1.52,Nifty Realty
ANANTRAJ,485.3,WAIT,58.9,0.5,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,40.8,MC Target Prob: 15.5% | Model Predicts +5.4% (10d) | Expected Horizon: 3.3d,0.15,0.54,0.0543,18690.0,71.2,66.7,40.0,100.0,85.0,85.0,NO,YES,YES,Breakdown,10.0,-34.03,19.62,735.6,405.7,59.0,62.6,32.9,3.15,11.1,19.6,0.12,Nifty Realty
ASHOKLEY,172.06,AVOID,36.2,0.26,4.0 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),38.0,Constructive RSI (Neutral-Bullish),2.5,MC Target Prob: 3.6% | Expected Horizon: 4.0d,0.04,0.4,-0.0613,83139.0,84.8,41.7,65.0,100.0,50.0,85.0,NO,NO,YES,Confirmed Bounce,80.0,-18.81,78.44,211.92,96.42,52.2,50.8,23.9,5.37,21.6,17.4,3.45,Nifty Auto
BAJAJ-AUTO,9816.0,WAIT,59.9,0.47,4.2 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,30.3,MC Target Prob: 0.4% | Model Predicts +5.0% (10d) | Expected Horizon: 4.2d,0.0,0.35,0.05,283293.0,87.5,28.3,65.0,100.0,85.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-2.91,37.75,10110.0,7126.19,70.5,68.2,26.4,7.3,28.0,48.8,0.56,Nifty Auto
BANKBARODA,275.72,AVOID,45.3,0.39,3.9 days,65.2,Low Leverage (D/E: 0.00) | Healthy Margins (31.2%),38.0,Constructive RSI (Neutral-Bullish),31.6,MC Target Prob: 2.2% | Model Predicts +8.8% (10d) | Expected Horizon: 3.9d,0.02,0.44,0.0877,134068.0,64.2,50.0,90.0,35.0,65.0,100.0,NO,NO,YES,Breakdown,10.0,-15.02,31.28,324.45,210.03,51.7,51.0,6.8,0.81,12.7,-7.6,0.0,Nifty PSU Bank
BANKINDIA,144.97,AVOID,48.6,0.34,4.0 days,89.0,Low Leverage (D/E: 0.00) | Healthy Margins (31.9%),38.0,Constructive RSI (Neutral-Bullish),17.3,MC Target Prob: 3.2% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.03,0.42,0.0084,63774.0,91.0,50.0,90.0,80.0,50.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-18.19,42.03,177.2,102.07,49.4,61.3,5.9,0.71,12.1,10.1,0.0,Nifty PSU Bank
BHARATFORG,1801.3,WAIT,57.7,0.46,4.0 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,31.4,MC Target Prob: 2.0% | Model Predicts +8.6% (10d) | Expected Horizon: 4.0d,0.02,0.41,0.0856,93189.0,40.0,20.0,25.0,55.0,65.0,70.0,NO,NO,YES,Extended Breakout,40.0,-6.37,90.39,1923.9,946.12,59.1,52.4,86.5,9.74,11.6,17.5,0.76,Nifty Auto
BOSCHLTD,36615.0,AVOID,39.6,0.28,4.2 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),44.0,Overbought RSI | Positive Trend Slope,0.7,MC Target Prob: 1.0% | Expected Horizon: 4.2d,0.01,0.35,-0.0372,111456.0,76.5,36.7,40.0,67.5,100.0,70.0,NO,NO,YES,Confirmed Bounce,70.0,-11.76,41.74,41495.0,25832.09,73.6,50.7,40.1,7.51,19.4,18.0,0.01,Nifty Auto
BRIGADE,745.3,AVOID,36.7,0.27,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.1,MC Target Prob: 3.0% | Expected Horizon: 3.7d,0.03,0.51,-0.0238,15856.0,55.0,66.7,50.0,10.0,100.0,55.0,NO,YES,YES,Breakdown,10.0,-41.53,17.43,1274.72,634.7,67.4,42.2,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty
BRITANNIA,5589.0,AVOID,44.4,0.38,4.5 days,64.3,High ROE (53.3%) | Low Leverage (D/E: 0.27) | Healthy Margins (13.2%),38.0,Constructive RSI (Neutral-Bullish),30.0,MC Target Prob: 0.0% | Model Predicts +4.2% (10d) | Expected Horizon: 4.5d,0.0,0.25,0.0416,124553.0,64.5,70.0,55.0,80.0,35.0,85.0,YES,NO,NO,None,0.0,-11.29,12.72,6300.5,4958.42,45.9,50.4,49.1,24.39,53.3,7.9,0.27,Nifty FMCG
