Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name,Macro_Sentiment_Multiplier,Systemic_Risk_Off,Combined_Score,Base_Rank_Score
OFSS,9756.0,WAIT,54.7,0.34,3.9 days,85.0,Strong Revenue Growth (20.3%) | High ROE (32.6%) | Low Leverage (D/E: 0.00) | Healthy Margins (34.4%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.6,MC Target Prob: 3.8% | Expected Horizon: 3.9d,0.04,0.42,-0.0687,82450.0,58.2,33.3,25.0,100.0,100.0,70.0,NO,NO,NO,None,0.0,-5.69,59.24,10344.5,6126.48,52.1,55.8,31.4,10.53,32.6,20.3,0.0,Nifty IT,0.0,False,55.8,55.8
PATANJALI,419.95,AVOID,32.0,0.22,4.1 days,73.5,Low Leverage (D/E: 0.21),20.0,Neutral Setup,0.8,MC Target Prob: 1.1% | Expected Horizon: 4.1d,0.01,0.39,-0.0109,45647.0,73.8,83.3,65.0,90.0,50.0,70.0,YES,YES,YES,Breakdown,10.0,-34.62,0.0,642.29,419.95,13.0,44.5,25.2,3.48,14.8,14.7,0.21,Nifty FMCG,0.0,False,44.5,44.5
PERSISTENT,5065.0,AVOID,48.8,0.37,3.9 days,73.9,Strong Revenue Growth (25.1%) | High ROE (26.3%) | Low Leverage (D/E: 0.06) | Healthy Margins (12.6%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,17.7,MC Target Prob: 3.8% | Model Predicts Positive Return | Expected Horizon: 3.9d,0.04,0.43,0.0174,76991.0,92.2,70.0,25.0,100.0,100.0,100.0,YES,NO,YES,Confirmed Bounce,80.0,-22.55,11.82,6540.04,4529.4,49.9,61.8,41.4,9.84,26.3,25.1,0.06,Nifty IT,0.0,False,61.8,61.8
PHOENIXLTD,1741.5,WAIT,54.1,0.4,3.8 days,73.5,Strong Revenue Growth (33.7%) | Low Leverage (D/E: 0.37) | Healthy Margins (27.7%),74.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Bullish Pullback Entry,17.7,MC Target Prob: 3.9% | Model Predicts Positive Return | Expected Horizon: 3.8d,0.04,0.45,0.0022,63149.0,79.5,60.0,25.0,100.0,35.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-10.73,23.07,1950.8,1415.03,54.1,61.7,50.3,5.75,11.1,33.7,0.37,Nifty Realty,0.0,False,61.7,61.7
PRESTIGE,1327.6,AVOID,37.0,0.31,3.7 days,54.8,Strong Revenue Growth (166.5%),38.0,Constructive RSI (Neutral-Bullish),18.3,MC Target Prob: 4.7% | Model Predicts Positive Return | Expected Horizon: 3.7d,0.05,0.49,0.0165,57201.0,63.2,70.0,25.0,100.0,50.0,85.0,NO,NO,NO,None,0.0,-26.41,17.85,1804.02,1126.5,40.4,44.9,47.8,3.51,8.0,166.5,1.05,Nifty Realty,0.0,False,44.9,44.9
RADICO,3484.9,AVOID,45.9,0.35,4.0 days,50.2,Strong Revenue Growth (19.5%) | Low Leverage (D/E: 0.21),74.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Positive Trend Slope | Bullish Pullback Entry,17.5,MC Target Prob: 3.5% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.04,0.39,0.003,46569.0,63.8,51.7,25.0,100.0,100.0,70.0,NO,NO,YES,Extended Breakout,40.0,-3.19,38.55,3599.9,2515.35,36.9,51.3,77.0,14.03,0.0,19.5,0.21,Nifty FMCG,0.0,False,51.3,51.3
RBLBANK,344.95,WAIT,58.7,0.47,3.8 days,65.4,Strong Revenue Growth (40.8%) | Low Leverage (D/E: 0.00),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,33.9,MC Target Prob: 5.6% | Model Predicts +3.9% (10d) | Expected Horizon: 3.8d,0.06,0.45,0.0393,22110.0,80.6,20.0,67.5,100.0,85.0,100.0,NO,NO,YES,Neckline Breakout,75.0,-2.49,67.34,353.75,206.14,68.4,65.3,25.4,1.32,0.0,40.8,0.0,Nifty Private Bank,0.0,False,65.3,65.3
SOBHA,1292.7,AVOID,33.6,0.27,3.7 days,61.4,Strong Revenue Growth (60.2%) | Low Leverage (D/E: 0.22),20.0,Neutral Setup,17.5,MC Target Prob: 3.5% | Model Predicts Positive Return | Expected Horizon: 3.7d,0.04,0.49,0.0188,13870.0,68.5,80.0,25.0,100.0,65.0,85.0,YES,NO,YES,Breakdown,10.0,-24.01,11.75,1701.2,1156.8,32.1,44.1,71.7,2.94,4.2,60.2,0.22,Nifty Realty,0.0,False,44.1,44.1
SONACOMS,588.25,WAIT,63.0,0.47,3.9 days,69.0,Strong Revenue Growth (45.4%) | Low Leverage (D/E: 0.07) | Healthy Margins (14.4%),92.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope | Bullish Pullback Entry,32.1,MC Target Prob: 3.1% | Model Predicts +3.5% (10d) | Expected Horizon: 3.9d,0.03,0.44,0.0353,36653.0,73.8,41.7,25.0,90.0,100.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-4.92,45.63,618.7,403.94,54.0,66.2,57.3,6.41,10.7,45.4,0.07,Nifty Auto,0.0,False,66.2,66.2
TATACONSUM,1107.0,AVOID,32.0,0.26,4.4 days,59.0,Strong Revenue Growth (17.9%) | Low Leverage (D/E: 0.12),20.0,Neutral Setup,15.2,MC Target Prob: 0.3% | Model Predicts Positive Return | Expected Horizon: 4.4d,0.0,0.31,0.0102,109652.0,62.8,63.3,25.0,100.0,50.0,100.0,YES,NO,NO,None,0.0,-12.9,9.09,1271.0,1014.8,19.8,41.2,71.0,5.39,6.9,17.9,0.12,Nifty FMCG,0.0,False,41.2,41.2
