Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name
ABB,4914.9,SELL,24.3,0.21,3.8 days,38.1,Low Leverage (D/E: 0.01) | Healthy Margins (22.3%),20.0,Neutral Setup,0.9,MC Target Prob: 1.3% | Expected Horizon: 3.8d,0.01,0.49,-0.0085,147446.0,62.5,80.0,25.0,67.5,35.0,85.0,YES,NO,YES,Forming Trough 2,55.0,-23.79,0.79,6449.14,4876.16,34.2,35.8,95.2,18.82,0.0,0.8,0.01,Nifty Energy
ABREL,1532.7,SELL,6.9,0.06,3.5 days,-2.2,Average Fundamentals,20.0,Neutral Setup,4.6,MC Target Prob: 6.5% | Expected Horizon: 3.5d,0.06,0.53,-0.0233,13206.0,58.5,100.0,35.0,30.0,35.0,85.0,YES,YES,YES,Breakdown,10.0,-38.69,0.0,2499.86,1532.7,26.7,22.4,0.0,3.57,-8.9,0.0,1.52,Nifty Realty
ADANIENSOL,922.6,AVOID,36.7,0.31,3.3 days,56.3,Strong Revenue Growth (16.8%),20.0,Neutral Setup,21.9,MC Target Prob: 9.9% | Model Predicts Positive Return | Expected Horizon: 3.3d,0.1,0.55,0.0069,188649.0,56.0,60.0,25.0,67.5,65.0,85.0,NO,NO,NO,None,0.0,-12.79,42.67,1057.9,646.65,33.8,42.5,84.3,7.42,9.7,16.8,1.95,Nifty Energy
ADANIGREEN,935.3,AVOID,33.3,0.26,3.3 days,55.5,Healthy Margins (12.7%),20.0,Neutral Setup,6.8,MC Target Prob: 9.7% | Expected Horizon: 3.3d,0.1,0.58,-0.0062,245512.0,77.0,53.3,25.0,90.0,65.0,70.0,NO,NO,YES,Confirmed Bounce,70.0,-18.82,21.7,1152.15,768.55,23.6,46.4,155.1,12.73,7.6,14.3,3.47,"Nifty Energy, Nifty Infra"
ADANIPORTS,1430.0,AVOID,48.7,0.33,3.9 days,85.0,Strong Revenue Growth (26.5%) | High ROE (15.6%) | Low Leverage (D/E: 0.64) | Healthy Margins (33.1%),20.0,Neutral Setup,17.2,MC Target Prob: 3.2% | Model Predicts Positive Return | Expected Horizon: 3.9d,0.03,0.45,0.0076,415865.0,78.8,51.7,55.0,67.5,50.0,85.0,NO,NO,YES,Confirmed Bounce,70.0,-6.57,36.46,1530.5,1047.95,31.3,57.7,31.0,4.33,15.6,26.5,0.64,Nifty Infra
ADANIPOWER,142.77,WAIT,52.6,0.43,3.4 days,63.9,High ROE (20.9%) | Low Leverage (D/E: 0.82) | Healthy Margins (23.7%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,21.5,MC Target Prob: 9.3% | Model Predicts Positive Return | Expected Horizon: 3.4d,0.09,0.53,0.0014,435545.0,56.2,41.7,40.0,55.0,85.0,100.0,NO,NO,NO,None,0.0,-16.4,58.67,170.78,89.98,51.1,53.7,34.1,6.71,20.9,-0.1,0.82,Nifty Energy
AEGISLOG,721.75,WAIT,56.4,0.4,3.4 days,78.5,Strong Revenue Growth (52.2%) | High ROE (15.3%) | Low Leverage (D/E: 0.47) | Healthy Margins (10.8%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,7.5,MC Target Prob: 10.7% | Expected Horizon: 3.4d,0.11,0.52,-0.0045,26520.0,92.2,70.0,40.0,100.0,85.0,85.0,YES,NO,YES,Confirmed Bounce,80.0,-21.62,14.71,920.88,629.17,48.0,67.1,29.5,4.46,15.3,52.2,0.47,Nifty Energy
AMBUJACEM,549.55,WAIT,50.3,0.36,4.0 days,67.8,Low Leverage (D/E: 0.01) | Healthy Margins (11.6%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.8,MC Target Prob: 1.1% | Expected Horizon: 4.0d,0.01,0.42,-0.0029,103194.0,96.8,60.0,80.0,80.0,85.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-11.44,18.63,620.55,463.25,46.6,64.2,21.8,1.73,8.3,7.2,0.01,Nifty Infra
ANANTRAJ,552.0,WAIT,60.5,0.47,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,25.7,MC Target Prob: 15.2% | Model Predicts Positive Return | Expected Horizon: 3.3d,0.15,0.54,0.0097,18690.0,93.0,70.0,40.0,100.0,100.0,70.0,NO,YES,YES,Confirmed Bounce,80.0,-39.9,33.04,918.49,414.9,49.1,70.2,32.9,3.15,11.1,19.6,0.12,Nifty Realty
APOLLOHOSP,7262.86,WAIT,54.3,0.42,4.5 days,70.4,Strong Revenue Growth (18.1%) | High ROE (21.5%) | Low Leverage (D/E: 0.85),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.0,MC Target Prob: 0.0% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.25,0.0049,120182.0,80.5,38.3,25.0,100.0,85.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-9.23,20.31,8001.38,6036.85,55.8,62.2,61.8,12.67,21.5,18.1,0.85,Nifty Infra
ASHOKLEY,186.89,WAIT,61.0,0.51,4.1 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,32.2,MC Target Prob: 3.1% | Model Predicts +4.4% (10d) | Expected Horizon: 4.1d,0.03,0.36,0.0442,83139.0,61.2,20.0,65.0,100.0,100.0,40.0,NO,NO,YES,Extended Breakout,40.0,-1.0,95.28,188.78,95.7,74.6,61.1,23.9,5.37,21.6,17.4,3.45,"Nifty Auto, Nifty Infra"
ATGL,554.4,AVOID,46.7,0.34,3.4 days,72.0,Strong Revenue Growth (16.1%) | Low Leverage (D/E: 0.46) | Healthy Margins (11.1%),38.0,Constructive RSI (Neutral-Bullish),4.9,MC Target Prob: 7.0% | Expected Horizon: 3.4d,0.07,0.55,-0.0168,80748.0,63.0,80.0,25.0,80.0,65.0,70.0,YES,NO,YES,Breakdown,10.0,-28.99,1.36,780.75,546.95,40.3,51.6,123.4,16.61,14.5,16.1,0.46,Nifty Energy
BAJAJ-AUTO,9579.5,WAIT,61.0,0.39,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,0.4,MC Target Prob: 0.5% | Expected Horizon: 4.3d,0.01,0.33,-0.0032,283293.0,84.5,28.3,65.0,100.0,85.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-2.15,34.43,9789.5,7126.19,70.9,68.0,26.4,7.3,28.0,48.8,0.56,Nifty Auto
BHARATFORG,1445.55,WAIT,64.6,0.44,4.0 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),92.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope | Bullish Pullback Entry,16.1,MC Target Prob: 1.6% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.02,0.41,0.001,93189.0,64.2,33.3,25.0,55.0,100.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-2.44,52.79,1481.71,946.12,48.8,64.5,86.5,9.74,11.6,17.5,0.76,"Nifty Auto, Nifty Infra"
BHARTIARTL,2022.5,AVOID,43.2,0.32,4.5 days,73.9,Strong Revenue Growth (15.7%) | High ROE (19.4%) | Low Leverage (D/E: 1.00) | Healthy Margins (12.7%),20.0,Neutral Setup,15.1,MC Target Prob: 0.1% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.24,0.0058,1104567.0,59.2,61.7,40.0,55.0,65.0,100.0,NO,NO,NO,None,0.0,-6.48,29.88,2162.7,1557.18,26.3,48.0,40.8,7.11,19.4,15.7,1.0,Nifty Infra
BHEL,267.45,AVOID,42.3,0.36,3.7 days,56.1,Strong Revenue Growth (36.9%) | Low Leverage (D/E: 0.31),38.0,Constructive RSI (Neutral-Bullish),18.5,MC Target Prob: 5.0% | Model Predicts Positive Return | Expected Horizon: 3.7d,0.05,0.48,0.0057,134512.0,55.0,60.0,25.0,100.0,35.0,55.0,NO,NO,NO,None,0.0,-11.89,49.59,303.55,178.79,40.9,46.1,84.0,5.14,6.3,36.9,0.31,Nifty Energy
BOSCHLTD,37455.0,WAIT,64.6,0.46,4.4 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.1,MC Target Prob: 0.2% | Model Predicts Positive Return | Expected Horizon: 4.4d,0.0,0.3,0.0092,111456.0,77.0,28.3,40.0,67.5,100.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-9.74,44.99,41495.0,25832.09,61.3,68.3,40.1,7.51,19.4,18.0,0.01,Nifty Auto
BPCL,347.11,WAIT,51.7,0.38,4.2 days,78.4,High ROE (28.5%) | Low Leverage (D/E: 0.54),38.0,Constructive RSI (Neutral-Bullish),15.8,MC Target Prob: 1.2% | Model Predicts Positive Return | Expected Horizon: 4.2d,0.01,0.36,0.0082,121833.0,71.9,43.3,92.5,80.0,65.0,100.0,NO,NO,NO,None,0.0,-7.06,55.84,373.46,222.73,42.7,57.8,4.7,1.22,28.5,6.7,0.54,"Nifty Energy, Nifty Infra"
BRIGADE,842.4,AVOID,32.0,0.25,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),20.0,Neutral Setup,1.9,MC Target Prob: 2.7% | Expected Horizon: 3.7d,0.03,0.49,-0.02,15856.0,58.2,100.0,50.0,10.0,35.0,85.0,YES,YES,YES,Breakdown,10.0,-33.91,0.0,1274.72,842.4,36.7,39.9,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty
CASTROLIND,182.31,AVOID,40.2,0.31,3.9 days,58.7,Low Leverage (D/E: 0.03) | Healthy Margins (16.4%),38.0,Positive Trend Slope,2.4,MC Target Prob: 3.5% | Expected Horizon: 3.9d,0.03,0.44,-0.0257,18107.0,71.8,70.0,65.0,47.5,100.0,100.0,NO,NO,YES,Breakdown,10.0,-19.2,17.36,225.64,155.35,31.8,49.7,18.9,9.53,0.0,8.7,0.03,Nifty Energy
CESC,157.07,AVOID,41.4,0.32,3.8 days,68.2,Average Fundamentals,20.0,Neutral Setup,18.3,MC Target Prob: 4.8% | Model Predicts Positive Return | Expected Horizon: 3.8d,0.05,0.45,0.0023,23130.0,75.2,60.0,80.0,70.0,65.0,85.0,NO,NO,YES,Forming Trough 2,55.0,-13.72,32.87,182.05,118.21,35.4,51.5,15.0,1.85,12.5,5.6,1.64,Nifty Energy
CGPOWER,575.63,SELL,17.8,0.16,3.8 days,23.0,Low Leverage (D/E: 0.00),20.0,Neutral Setup,2.3,MC Target Prob: 3.2% | Expected Horizon: 3.8d,0.03,0.46,-0.0003,142282.0,42.0,63.3,25.0,30.0,35.0,55.0,YES,NO,YES,Breakdown,10.0,-27.18,6.73,790.46,539.31,15.7,25.1,117.5,17.86,0.0,0.0,0.0,"Nifty Energy, Nifty Infra"
COALINDIA,426.56,WAIT,68.4,0.4,4.2 days,98.9,Strong Revenue Growth (16.2%) | High ROE (28.1%) | Low Leverage (D/E: 0.12) | Healthy Margins (18.5%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,0.3,MC Target Prob: 0.5% | Expected Horizon: 4.2d,0.0,0.35,-0.0,286505.0,68.5,38.3,80.0,90.0,100.0,40.0,NO,NO,NO,None,0.0,-0.02,28.9,426.66,330.93,70.5,68.4,9.2,2.41,28.1,16.2,0.12,Nifty Energy
