Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name,Macro_Sentiment_Multiplier,Systemic_Risk_Off,Combined_Score,Base_Rank_Score
ABREL,1285.8,SELL,7.1,0.06,3.5 days,-2.2,Average Fundamentals,20.0,Neutral Setup,5.5,MC Target Prob: 7.8% | Expected Horizon: 3.5d,0.08,0.54,-0.0122,13206.0,75.5,90.0,35.0,30.0,35.0,85.0,NO,YES,YES,Confirmed Bounce,80.0,-48.57,17.44,2499.86,1094.9,32.7,27.6,0.0,3.57,-8.9,0.0,1.52,Nifty Realty,0.0,False,27.6,27.6
ANANTRAJ,507.5,AVOID,43.1,0.31,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),38.0,Constructive RSI (Neutral-Bullish),10.9,MC Target Prob: 15.6% | Expected Horizon: 3.3d,0.16,0.53,-0.0174,18690.0,96.8,80.0,40.0,100.0,85.0,100.0,NO,YES,YES,Confirmed Bounce,80.0,-31.01,25.09,735.6,405.7,46.2,59.2,32.9,3.15,11.1,19.6,0.12,Nifty Realty,0.0,False,59.2,59.2
ASHOKLEY,164.08,AVOID,41.4,0.33,4.0 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),38.0,Constructive RSI (Neutral-Bullish),17.4,MC Target Prob: 3.5% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.03,0.4,0.0184,83139.0,89.5,50.0,65.0,100.0,65.0,85.0,NO,NO,YES,Confirmed Bounce,80.0,-22.57,43.12,211.92,114.64,54.2,55.8,23.9,5.37,21.6,17.4,3.45,Nifty Auto,0.0,False,55.8,55.8
AXISBANK,1311.2,AVOID,45.2,0.35,4.3 days,60.7,Low Leverage (D/E: 0.00) | Healthy Margins (35.4%),62.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish),15.2,MC Target Prob: 0.3% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.0,0.32,0.018,408817.0,73.5,38.3,70.0,35.0,50.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-6.54,25.45,1403.0,1045.2,65.0,53.7,15.6,1.9,13.2,-11.2,0.0,Nifty Private Bank,0.0,False,53.7,53.7
BAJAJ-AUTO,10491.0,WAIT,53.0,0.33,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.4,MC Target Prob: 0.5% | Expected Horizon: 4.3d,0.01,0.34,-0.0147,283293.0,81.8,28.3,65.0,100.0,100.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-2.06,31.01,10711.5,8008.0,60.1,61.6,26.4,7.3,28.0,48.8,0.56,Nifty Auto,0.0,False,61.6,61.6
BANDHANBNK,196.97,AVOID,44.3,0.31,3.7 days,74.9,Strong Revenue Growth (119.3%) | Low Leverage (D/E: 0.00) | Healthy Margins (13.0%),56.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Bullish Pullback Entry,3.7,MC Target Prob: 5.3% | Expected Horizon: 3.7d,0.05,0.49,-0.055,32182.0,82.6,51.7,52.5,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,-5.7,45.4,208.88,135.47,37.6,55.8,26.3,1.26,4.9,119.3,0.0,Nifty Private Bank,0.0,False,55.8,55.8
BANKBARODA,272.25,AVOID,45.2,0.39,4.0 days,65.2,Low Leverage (D/E: 0.00) | Healthy Margins (31.2%),38.0,Constructive RSI (Neutral-Bullish),31.4,MC Target Prob: 2.1% | Model Predicts +2.3% (10d) | Expected Horizon: 4.0d,0.02,0.41,0.0235,134068.0,83.2,46.7,90.0,35.0,65.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-16.09,17.52,324.45,231.66,58.8,56.6,6.8,0.81,12.7,-7.6,0.0,Nifty PSU Bank,0.0,False,56.6,56.6
BANKINDIA,146.01,WAIT,55.6,0.39,3.9 days,89.0,Low Leverage (D/E: 0.00) | Healthy Margins (31.9%),62.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish),16.6,MC Target Prob: 2.3% | Model Predicts Positive Return | Expected Horizon: 3.9d,0.02,0.43,0.0086,63774.0,89.2,36.7,90.0,80.0,65.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-17.6,33.6,177.2,109.29,61.8,65.7,5.9,0.71,12.1,10.1,0.0,Nifty PSU Bank,0.0,False,65.7,65.7
BHARATFORG,1918.3,WAIT,57.6,0.46,4.0 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,31.3,MC Target Prob: 1.9% | Model Predicts +3.0% (10d) | Expected Horizon: 4.0d,0.02,0.4,0.0301,93189.0,45.2,20.0,25.0,55.0,100.0,70.0,NO,NO,YES,Extended Breakout,40.0,-3.74,73.53,1992.9,1105.44,56.5,53.9,86.5,9.74,11.6,17.5,0.76,Nifty Auto,0.0,False,53.9,53.9
BOSCHLTD,36310.0,AVOID,43.0,0.33,4.2 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),38.0,Constructive RSI (Neutral-Bullish),15.6,MC Target Prob: 0.9% | Model Predicts Positive Return | Expected Horizon: 4.2d,0.01,0.35,0.0195,111456.0,81.2,60.0,40.0,67.5,65.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-12.5,26.32,41495.0,28745.0,52.4,54.5,40.1,7.51,19.4,18.0,0.01,Nifty Auto,0.0,False,54.5,54.5
BRIGADE,669.55,SELL,25.8,0.2,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),20.0,Neutral Setup,1.8,MC Target Prob: 2.6% | Expected Horizon: 3.7d,0.03,0.5,-0.0235,15856.0,56.2,83.3,50.0,10.0,65.0,70.0,YES,YES,NO,None,0.0,-47.47,5.49,1274.72,634.7,21.2,34.9,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty,0.0,False,34.9,34.9
CANBK,133.7,SELL,27.3,0.24,4.0 days,13.6,High ROE (15.9%) | Low Leverage (D/E: 0.00) | Healthy Margins (37.0%),38.0,Constructive RSI (Neutral-Bullish),31.8,MC Target Prob: 2.6% | Model Predicts +2.7% (10d) | Expected Horizon: 4.0d,0.03,0.41,0.0269,119651.0,76.6,60.0,82.5,10.0,50.0,85.0,NO,NO,YES,Confirmed Bounce,80.0,-15.87,29.62,158.93,103.14,49.0,42.1,6.1,1.02,15.9,-46.7,0.0,Nifty PSU Bank,0.0,False,42.1,42.1
CENTRALBK,31.27,AVOID,40.4,0.24,3.7 days,95.7,Strong Revenue Growth (44.8%) | Low Leverage (D/E: 0.00) | Healthy Margins (24.4%),20.0,Neutral Setup,2.7,MC Target Prob: 3.9% | Expected Horizon: 3.7d,0.04,0.5,-0.0116,27543.0,64.8,63.3,90.0,55.0,35.0,70.0,YES,NO,YES,Breakdown,10.0,-21.41,1.12,39.79,30.92,22.5,47.7,6.1,0.71,11.9,44.8,0.0,Nifty PSU Bank,0.0,False,47.7,47.7
COFORGE,1398.0,AVOID,46.8,0.35,3.9 days,77.6,Strong Revenue Growth (30.5%) | High ROE (18.6%) | Low Leverage (D/E: 0.08),44.0,Overbought RSI | Positive Trend Slope,18.3,MC Target Prob: 4.7% | Model Predicts Positive Return | Expected Horizon: 3.9d,0.05,0.44,0.0065,62094.0,59.2,36.7,25.0,100.0,100.0,70.0,NO,NO,YES,Breakdown,10.0,-29.15,30.18,1973.19,1073.9,72.9,50.5,32.0,4.94,18.6,30.5,0.08,Nifty IT,0.0,False,50.5,50.5
DLF,592.3,SELL,11.2,0.09,3.9 days,-1.8,Low Leverage (D/E: 0.01) | Healthy Margins (53.9%),38.0,Constructive RSI (Neutral-Bullish),1.1,MC Target Prob: 1.5% | Expected Horizon: 3.9d,0.02,0.45,-0.0062,139410.0,79.5,80.0,55.0,10.0,65.0,100.0,NO,YES,YES,Confirmed Bounce,70.0,-32.23,17.5,873.96,504.1,48.1,31.7,31.6,3.07,10.0,-42.0,0.01,Nifty Realty,0.0,False,31.7,31.7
EICHERMOT,7414.0,WAIT,58.6,0.4,4.3 days,85.0,Strong Revenue Growth (19.1%) | High ROE (23.8%) | Low Leverage (D/E: 0.02) | Healthy Margins (23.6%),78.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Volume Breakout Detected,15.6,MC Target Prob: 0.8% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.01,0.31,0.0112,198173.0,84.0,41.7,55.0,90.0,65.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-9.47,41.47,8190.0,5240.55,54.7,66.2,35.9,7.89,23.8,19.1,0.02,Nifty Auto,0.0,False,66.2,66.2
EXIDEIND,346.25,SELL,28.3,0.21,4.0 days,62.8,Low Leverage (D/E: 0.11),20.0,Neutral Setup,0.7,MC Target Prob: 1.1% | Expected Horizon: 4.0d,0.01,0.43,-0.0203,32840.0,73.0,70.0,70.0,70.0,70.0,100.0,NO,NO,NO,None,0.0,-18.98,20.27,427.35,287.9,38.8,41.7,38.4,2.36,6.2,9.2,0.11,Nifty Auto,0.0,False,41.7,41.7
FEDERALBNK,289.25,WAIT,56.1,0.39,4.3 days,91.6,Low Leverage (D/E: 0.00) | Healthy Margins (29.9%),62.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish),15.5,MC Target Prob: 0.7% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.01,0.31,0.0088,76686.0,80.8,33.3,70.0,90.0,35.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-3.54,52.32,299.85,189.9,46.1,63.5,17.8,1.92,11.7,12.3,0.0,Nifty Private Bank,0.0,False,63.5,63.5
GODREJPROP,1767.3,AVOID,42.8,0.28,3.7 days,87.0,Strong Revenue Growth (63.0%) | Low Leverage (D/E: 0.82) | Healthy Margins (36.1%),38.0,Constructive RSI (Neutral-Bullish),2.7,MC Target Prob: 3.9% | Expected Horizon: 3.7d,0.04,0.51,-0.0376,49446.0,72.2,70.0,55.0,100.0,50.0,100.0,NO,NO,NO,None,0.0,-28.37,20.12,2467.3,1471.3,44.6,51.6,26.7,2.58,10.0,63.0,0.82,Nifty Realty,0.0,False,51.6,51.6
HCLTECH,1165.7,AVOID,42.1,0.32,4.3 days,72.4,High ROE (23.4%) | Low Leverage (D/E: 0.07) | Healthy Margins (12.8%),38.0,Constructive RSI (Neutral-Bullish),15.3,MC Target Prob: 0.4% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.0,0.35,0.0051,306320.0,67.5,100.0,55.0,35.0,65.0,70.0,YES,YES,NO,None,0.0,-31.31,3.71,1697.11,1124.0,40.3,49.7,18.5,4.02,23.4,5.3,0.07,Nifty IT,0.0,False,49.7,49.7
HDFCBANK,786.85,AVOID,37.6,0.26,4.5 days,74.8,Low Leverage (D/E: 0.00) | Healthy Margins (26.8%),38.0,Constructive RSI (Neutral-Bullish),0.0,MC Target Prob: 0.1% | Expected Horizon: 4.5d,0.0,0.26,-0.0239,1149965.0,77.5,56.7,70.0,35.0,50.0,85.0,YES,NO,YES,Confirmed Bounce,80.0,-22.32,7.56,1012.9,731.55,55.5,49.6,16.7,1.96,13.8,-1.8,0.0,Nifty Private Bank,0.0,False,49.6,49.6
HEROMOTOCO,4979.0,WAIT,52.0,0.39,4.2 days,85.5,Strong Revenue Growth (30.2%) | High ROE (28.0%) | Low Leverage (D/E: 0.04) | Healthy Margins (12.1%),38.0,Constructive RSI (Neutral-Bullish),30.5,MC Target Prob: 0.7% | Model Predicts +2.2% (10d) | Expected Horizon: 4.2d,0.01,0.36,0.0215,97179.0,80.5,70.0,65.0,100.0,65.0,85.0,NO,NO,YES,Forming Trough 2,55.0,-20.07,23.31,6229.09,4037.95,42.7,60.6,16.9,4.5,28.0,30.2,0.04,Nifty Auto,0.0,False,60.6,60.6
ICICIBANK,1291.8,WAIT,56.9,0.39,4.6 days,100.0,Strong Revenue Growth (66.9%) | High ROE (16.4%) | Low Leverage (D/E: 0.00) | Healthy Margins (24.9%),38.0,Constructive RSI (Neutral-Bullish),30.0,MC Target Prob: 0.1% | Model Predicts +3.0% (10d) | Expected Horizon: 4.6d,0.0,0.24,0.0303,927428.0,84.2,56.7,55.0,80.0,50.0,100.0,YES,NO,YES,Confirmed Bounce,80.0,-12.55,7.12,1477.2,1205.9,62.5,65.1,17.3,2.55,16.4,66.9,0.0,Nifty Private Bank,0.0,False,65.1,65.1
IDFCFIRSTB,69.46,AVOID,39.9,0.37,4.0 days,50.5,Low Leverage (D/E: 0.00) | Healthy Margins (32.8%),38.0,Constructive RSI (Neutral-Bullish),31.1,MC Target Prob: 1.5% | Model Predicts +3.6% (10d) | Expected Horizon: 4.0d,0.02,0.42,0.036,62868.0,56.6,60.0,52.5,10.0,100.0,85.0,NO,NO,NO,None,0.0,-19.3,18.03,86.07,58.85,53.6,44.9,38.8,1.34,0.0,-1.1,0.0,Nifty Private Bank,0.0,False,44.9,44.9
INDIANB,840.15,WAIT,51.0,0.4,4.0 days,81.1,High ROE (15.4%) | Low Leverage (D/E: 0.00) | Healthy Margins (34.2%),38.0,Constructive RSI (Neutral-Bullish),32.1,MC Target Prob: 3.0% | Model Predicts +5.6% (10d) | Expected Horizon: 4.0d,0.03,0.41,0.0562,113549.0,77.4,50.0,67.5,47.5,50.0,85.0,NO,NO,YES,Confirmed Bounce,80.0,-15.27,45.45,991.55,577.63,47.4,58.9,9.7,1.42,15.4,1.5,0.0,Nifty PSU Bank,0.0,False,58.9,58.9
