Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name
ABREL,1176.1,SELL,11.9,0.11,3.5 days,-2.2,Average Fundamentals,20.0,Neutral Setup,19.1,MC Target Prob: 5.8% | Model Predicts Positive Return | Expected Horizon: 3.5d,0.06,0.54,0.0077,13206.0,50.5,83.3,35.0,30.0,35.0,55.0,YES,YES,YES,Breakdown,10.0,-52.95,0.0,2499.86,1176.1,13.5,23.5,0.0,3.57,-8.9,0.0,1.52,Nifty Realty
ADANIENT,1996.5,SELL,29.1,0.22,3.6 days,62.6,Strong Revenue Growth (20.3%),20.0,Neutral Setup,3.3,MC Target Prob: 4.7% | Expected Horizon: 3.6d,0.05,0.53,-0.0016,407480.0,54.2,63.3,25.0,65.0,50.0,85.0,YES,NO,YES,Breakdown,10.0,-25.4,7.1,2676.4,1864.2,21.9,36.6,40.4,4.74,13.7,20.3,1.2,Nifty Metal
ANANTRAJ,485.35,AVOID,37.6,0.26,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),20.0,Neutral Setup,10.8,MC Target Prob: 15.4% | Expected Horizon: 3.3d,0.15,0.53,-0.0281,18690.0,73.8,90.0,40.0,100.0,65.0,70.0,NO,YES,YES,Breakdown,10.0,-34.02,16.98,735.6,414.9,25.0,48.5,32.9,3.15,11.1,19.6,0.12,Nifty Realty
APLAPOLLO,2100.6,AVOID,45.8,0.36,4.1 days,66.7,High ROE (25.3%) | Low Leverage (D/E: 0.09),56.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Bullish Pullback Entry,16.0,MC Target Prob: 1.5% | Model Predicts Positive Return | Expected Horizon: 4.1d,0.02,0.37,0.0073,50470.0,54.0,43.3,25.0,90.0,65.0,70.0,NO,NO,NO,None,0.0,-7.9,53.55,2280.8,1368.03,32.5,48.3,41.9,9.53,25.3,13.6,0.09,Nifty Metal
ASHOKLEY,193.56,AVOID,41.1,0.33,4.1 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),20.0,Neutral Setup,31.9,MC Target Prob: 2.8% | Model Predicts +5.8% (10d) | Expected Horizon: 4.1d,0.03,0.36,0.0581,83139.0,61.5,43.3,65.0,100.0,35.0,70.0,NO,NO,NO,None,0.0,-8.66,102.25,211.92,95.7,36.4,47.2,23.9,5.37,21.6,17.4,3.45,Nifty Auto
AXISBANK,1314.7,AVOID,38.0,0.31,4.4 days,60.7,Low Leverage (D/E: 0.00) | Healthy Margins (35.4%),38.0,Constructive RSI (Neutral-Bullish),15.1,MC Target Prob: 0.2% | Model Predicts Positive Return | Expected Horizon: 4.4d,0.0,0.31,0.0055,408817.0,60.5,51.7,70.0,35.0,70.0,100.0,NO,NO,NO,None,0.0,-6.29,31.35,1403.0,1000.94,40.7,44.8,15.6,1.9,13.2,-11.2,0.0,Nifty Private Bank
BAJAJ-AUTO,9610.0,AVOID,45.7,0.33,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),38.0,Constructive RSI (Neutral-Bullish),15.4,MC Target Prob: 0.5% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.01,0.34,0.0004,283293.0,93.8,41.7,65.0,100.0,100.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-4.95,34.85,10110.0,7126.19,45.1,60.1,26.4,7.3,28.0,48.8,0.56,Nifty Auto
BANDHANBNK,182.26,AVOID,49.3,0.38,3.7 days,74.9,Strong Revenue Growth (119.3%) | Low Leverage (D/E: 0.00) | Healthy Margins (13.0%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,17.9,MC Target Prob: 4.2% | Model Predicts Positive Return | Expected Horizon: 3.7d,0.04,0.49,0.0008,32182.0,75.6,28.3,52.5,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,65.0,-3.01,34.54,187.92,135.47,62.0,57.2,26.3,1.26,4.9,119.3,0.0,Nifty Private Bank
BHARATFORG,1842.2,WAIT,57.6,0.46,4.1 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,31.1,MC Target Prob: 1.6% | Model Predicts +4.9% (10d) | Expected Horizon: 4.1d,0.02,0.4,0.0489,93189.0,42.2,20.0,25.0,55.0,100.0,40.0,NO,NO,YES,Extended Breakout,40.0,-4.25,94.71,1923.9,946.12,61.0,53.0,86.5,9.74,11.6,17.5,0.76,Nifty Auto
BOSCHLTD,32080.0,AVOID,42.8,0.33,4.3 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),20.0,Neutral Setup,30.3,MC Target Prob: 0.5% | Model Predicts +2.5% (10d) | Expected Horizon: 4.3d,0.0,0.34,0.0248,111456.0,61.2,70.0,40.0,67.5,65.0,70.0,NO,NO,YES,Breakdown,10.0,-22.69,24.19,41495.0,25832.09,30.8,48.3,40.1,7.51,19.4,18.0,0.01,Nifty Auto
