Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name,Macro_Sentiment_Multiplier,Systemic_Risk_Off,Combined_Score,Base_Rank_Score
ABREL,1241.1,SELL,7.0,0.06,3.5 days,-2.2,Average Fundamentals,20.0,Neutral Setup,5.0,MC Target Prob: 7.1% | Expected Horizon: 3.5d,0.07,0.55,-0.0147,13206.0,58.5,100.0,35.0,30.0,35.0,85.0,YES,YES,NO,None,0.0,-50.35,13.35,2499.86,1094.9,27.0,22.4,0.0,3.57,-8.9,0.0,1.52,Nifty Realty,0.0,False,22.4,22.4
ANANTRAJ,476.25,WAIT,53.6,0.42,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,25.6,MC Target Prob: 15.2% | Model Predicts Positive Return | Expected Horizon: 3.3d,0.15,0.54,0.006,18690.0,93.8,90.0,40.0,100.0,65.0,70.0,NO,YES,YES,Confirmed Bounce,80.0,-35.26,17.39,735.6,405.7,44.9,65.7,32.9,3.15,11.1,19.6,0.12,Nifty Realty,0.0,False,65.7,65.7
ASHOKLEY,151.14,AVOID,36.0,0.28,4.0 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),20.0,Neutral Setup,17.3,MC Target Prob: 3.3% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.03,0.41,0.0186,83139.0,74.5,60.0,65.0,100.0,65.0,55.0,NO,NO,YES,Forming Trough 2,55.0,-28.68,32.06,211.92,114.45,29.4,47.6,23.9,5.37,21.6,17.4,3.45,Nifty Auto,0.0,False,47.6,47.6
AXISBANK,1237.9,SELL,27.3,0.2,4.3 days,60.7,Low Leverage (D/E: 0.00) | Healthy Margins (35.4%),20.0,Neutral Setup,0.2,MC Target Prob: 0.2% | Expected Horizon: 4.3d,0.0,0.33,-0.0099,408817.0,81.5,70.0,70.0,35.0,50.0,85.0,NO,NO,YES,Confirmed Bounce,70.0,-11.77,18.44,1403.0,1045.2,33.7,43.6,15.6,1.9,13.2,-11.2,0.0,Nifty Private Bank,0.0,False,43.6,43.6
BAJAJ-AUTO,10198.5,WAIT,53.0,0.33,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.4,MC Target Prob: 0.6% | Expected Horizon: 4.3d,0.01,0.34,-0.0137,283293.0,92.8,38.3,65.0,100.0,100.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-4.79,29.06,10711.5,7902.23,65.4,64.9,26.4,7.3,28.0,48.8,0.56,Nifty Auto,0.0,False,64.9,64.9
BANDHANBNK,190.34,WAIT,55.1,0.34,3.7 days,74.9,Strong Revenue Growth (119.3%) | Low Leverage (D/E: 0.00) | Healthy Margins (13.0%),92.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope | Bullish Pullback Entry,3.6,MC Target Prob: 5.1% | Expected Horizon: 3.7d,0.05,0.48,-0.0699,32182.0,75.6,28.3,52.5,100.0,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,-8.88,40.5,208.88,135.47,60.1,61.2,26.3,1.26,4.9,119.3,0.0,Nifty Private Bank,0.0,False,61.2,61.2
BHARATFORG,1891.0,WAIT,56.1,0.39,4.0 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),92.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope | Bullish Pullback Entry,16.7,MC Target Prob: 2.4% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.02,0.41,0.0087,93189.0,49.2,33.3,25.0,55.0,100.0,70.0,NO,NO,YES,Extended Breakout,40.0,-5.11,71.06,1992.9,1105.44,49.5,54.0,86.5,9.74,11.6,17.5,0.76,Nifty Auto,0.0,False,54.0,54.0
BOSCHLTD,37155.0,AVOID,37.7,0.26,4.2 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),38.0,Constructive RSI (Neutral-Bullish),0.5,MC Target Prob: 0.8% | Expected Horizon: 4.2d,0.01,0.36,-0.0014,111456.0,84.2,60.0,40.0,67.5,85.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-10.46,29.26,41495.0,28745.0,49.5,51.6,40.1,7.51,19.4,18.0,0.01,Nifty Auto,0.0,False,51.6,51.6
BRIGADE,663.45,SELL,25.9,0.2,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),20.0,Neutral Setup,2.3,MC Target Prob: 3.2% | Expected Horizon: 3.7d,0.03,0.49,-0.0247,15856.0,54.0,83.3,50.0,10.0,50.0,70.0,YES,YES,NO,None,0.0,-47.95,4.53,1274.72,634.7,13.2,34.3,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty,0.0,False,34.3,34.3
BRITANNIA,5380.5,SELL,28.5,0.21,4.5 days,64.3,High ROE (53.3%) | Low Leverage (D/E: 0.27) | Healthy Margins (13.2%),20.0,Neutral Setup,0.0,MC Target Prob: 0.0% | Expected Horizon: 4.5d,0.0,0.25,-0.0018,124553.0,69.0,80.0,55.0,80.0,35.0,100.0,YES,NO,YES,Breakdown,10.0,-14.6,1.47,6300.5,5302.5,33.1,40.6,49.1,24.39,53.3,7.9,0.27,Nifty FMCG,0.0,False,40.6,40.6
