Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name
ABREL,1300.9,SELL,17.6,0.13,3.5 days,-2.2,Average Fundamentals,56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,4.6,MC Target Prob: 6.5% | Expected Horizon: 3.5d,0.06,0.54,-0.0258,13206.0,53.0,76.7,35.0,30.0,65.0,55.0,YES,YES,YES,Breakdown,10.0,-47.96,8.83,2499.86,1195.4,60.8,28.2,0.0,3.57,-8.9,0.0,1.52,Nifty Realty
ADANIENT,2160.8,AVOID,39.8,0.29,3.6 days,62.6,Strong Revenue Growth (20.3%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,3.2,MC Target Prob: 4.6% | Expected Horizon: 3.6d,0.05,0.54,-0.0088,407480.0,53.8,46.7,25.0,65.0,100.0,55.0,NO,NO,YES,Breakdown,10.0,-19.26,15.91,2676.4,1864.2,63.8,44.0,40.4,4.74,13.7,20.3,1.2,Nifty Metal
ANANTRAJ,548.7,WAIT,53.8,0.42,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,26.2,MC Target Prob: 15.9% | Model Predicts Positive Return | Expected Horizon: 3.3d,0.16,0.53,0.0023,18690.0,85.5,50.0,40.0,100.0,100.0,55.0,NO,NO,YES,Confirmed Bounce,80.0,-25.41,32.25,735.6,414.9,45.8,63.3,32.9,3.15,11.1,19.6,0.12,Nifty Realty
APLAPOLLO,2187.5,WAIT,52.8,0.38,4.2 days,66.7,High ROE (25.3%) | Low Leverage (D/E: 0.09),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.7,MC Target Prob: 1.0% | Model Predicts Positive Return | Expected Horizon: 4.2d,0.01,0.36,0.0091,50470.0,49.2,20.0,25.0,90.0,100.0,40.0,NO,NO,NO,None,0.0,-4.09,68.46,2280.8,1298.52,65.6,51.7,41.9,9.53,25.3,13.6,0.09,Nifty Metal
ASHOKLEY,208.85,WAIT,59.1,0.47,4.1 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,31.8,MC Target Prob: 2.6% | Model Predicts +4.6% (10d) | Expected Horizon: 4.1d,0.03,0.36,0.0465,83139.0,56.8,20.0,65.0,100.0,70.0,40.0,NO,NO,NO,None,0.0,-1.03,118.23,211.02,95.7,66.5,58.4,23.9,5.37,21.6,17.4,3.45,Nifty Auto
BAJAJ-AUTO,9807.0,WAIT,58.2,0.4,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.3,MC Target Prob: 0.4% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.0,0.33,0.01,283293.0,81.8,28.3,65.0,100.0,100.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-1.73,37.62,9980.0,7126.19,61.0,65.3,26.4,7.3,28.0,48.8,0.56,Nifty Auto
BHARATFORG,1780.0,WAIT,54.0,0.45,4.1 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,31.3,MC Target Prob: 1.9% | Model Predicts +2.1% (10d) | Expected Horizon: 4.1d,0.02,0.4,0.0207,93189.0,42.2,20.0,25.0,55.0,100.0,40.0,NO,NO,YES,Extended Breakout,40.0,0.0,88.14,1780.0,946.12,87.2,50.5,86.5,9.74,11.6,17.5,0.76,Nifty Auto
BOSCHLTD,35215.0,AVOID,37.5,0.27,4.3 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),20.0,Neutral Setup,15.3,MC Target Prob: 0.4% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.0,0.32,0.0115,111456.0,69.2,60.0,40.0,67.5,85.0,100.0,NO,NO,YES,Forming Trough 2,55.0,-15.13,36.32,41495.0,25832.09,39.8,47.0,40.1,7.51,19.4,18.0,0.01,Nifty Auto
BRIGADE,740.65,AVOID,36.6,0.27,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,1.8,MC Target Prob: 2.6% | Expected Horizon: 3.7d,0.03,0.5,-0.0005,15856.0,54.5,90.0,50.0,10.0,50.0,55.0,YES,YES,YES,Breakdown,10.0,-41.9,0.84,1274.72,734.45,50.5,42.0,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty
BRITANNIA,6098.5,WAIT,51.8,0.37,4.6 days,64.3,High ROE (53.3%) | Low Leverage (D/E: 0.27) | Healthy Margins (13.2%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.0,MC Target Prob: 0.1% | Model Predicts Positive Return | Expected Horizon: 4.6d,0.0,0.24,0.0145,124553.0,63.2,28.3,55.0,80.0,100.0,100.0,NO,NO,NO,None,0.0,-3.21,35.04,6300.5,4516.02,63.5,55.2,49.1,24.39,53.3,7.9,0.27,Nifty FMCG
