Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name
ABREL,1387.1,SELL,17.6,0.13,3.5 days,-2.2,Average Fundamentals,56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,4.6,MC Target Prob: 6.6% | Expected Horizon: 3.5d,0.07,0.55,-0.0252,13206.0,50.0,66.7,35.0,30.0,65.0,55.0,NO,YES,YES,Breakdown,10.0,-44.51,16.04,2499.86,1195.4,57.9,27.3,0.0,3.57,-8.9,0.0,1.52,Nifty Realty
ADANIGREEN,1016.8,AVOID,40.4,0.35,3.3 days,55.5,Healthy Margins (12.7%),44.0,Overbought RSI | Positive Trend Slope,22.2,MC Target Prob: 10.3% | Model Predicts Positive Return | Expected Horizon: 3.3d,0.1,0.58,0.0095,245512.0,72.8,36.7,25.0,90.0,70.0,70.0,NO,NO,YES,Confirmed Bounce,70.0,-11.75,32.3,1152.15,768.55,79.7,50.1,155.1,12.73,7.6,14.3,3.47,Nifty Infra
ADANIPORTS,1566.3,WAIT,50.9,0.33,3.9 days,85.0,Strong Revenue Growth (26.5%) | High ROE (15.6%) | Low Leverage (D/E: 0.64) | Healthy Margins (33.1%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,2.2,MC Target Prob: 3.2% | Expected Horizon: 3.9d,0.03,0.44,-0.0038,415865.0,72.8,28.3,55.0,67.5,100.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-0.25,49.46,1570.2,1047.95,76.9,57.5,31.0,4.33,15.6,26.5,0.64,Nifty Infra
AMBUJACEM,522.0,AVOID,35.4,0.26,4.0 days,67.8,Low Leverage (D/E: 0.01) | Healthy Margins (11.6%),38.0,Constructive RSI (Neutral-Bullish),0.6,MC Target Prob: 0.9% | Expected Horizon: 4.0d,0.01,0.41,-0.0004,103194.0,73.8,80.0,80.0,80.0,35.0,85.0,YES,NO,NO,None,0.0,-15.88,12.68,620.55,463.25,44.7,46.9,21.8,1.73,8.3,7.2,0.01,Nifty Infra
ANANTRAJ,544.25,WAIT,53.9,0.42,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,26.3,MC Target Prob: 16.2% | Model Predicts Positive Return | Expected Horizon: 3.3d,0.16,0.53,0.0169,18690.0,82.2,36.7,40.0,100.0,85.0,85.0,NO,NO,YES,Confirmed Bounce,70.0,-26.01,31.18,735.6,414.9,67.3,62.4,32.9,3.15,11.1,19.6,0.12,Nifty Realty
APOLLOHOSP,7601.5,AVOID,43.1,0.33,4.5 days,70.4,Strong Revenue Growth (18.1%) | High ROE (21.5%) | Low Leverage (D/E: 0.85),44.0,Overbought RSI | Positive Trend Slope,15.0,MC Target Prob: 0.0% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.24,0.0085,120182.0,80.5,38.3,25.0,100.0,85.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-5.0,25.92,8001.38,6036.85,87.7,54.3,61.8,12.67,21.5,18.1,0.85,Nifty Infra
ASHOKLEY,207.68,WAIT,59.1,0.47,4.2 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,32.0,MC Target Prob: 2.8% | Model Predicts +4.4% (10d) | Expected Horizon: 4.2d,0.03,0.35,0.0437,83139.0,56.8,20.0,65.0,100.0,70.0,40.0,NO,NO,NO,None,0.0,-1.58,117.01,211.02,95.7,65.8,58.4,23.9,5.37,21.6,17.4,3.45,"Nifty Auto, Nifty Infra"
AXISBANK,1357.2,WAIT,50.5,0.37,4.5 days,60.7,Low Leverage (D/E: 0.00) | Healthy Margins (35.4%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.1,MC Target Prob: 0.1% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.28,0.0088,408817.0,55.0,28.3,70.0,35.0,100.0,70.0,NO,NO,NO,None,0.0,-0.96,36.8,1370.4,992.1,57.3,51.8,15.6,1.9,13.2,-11.2,0.0,Nifty Private Bank
BAJAJ-AUTO,9826.5,WAIT,58.3,0.4,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.3,MC Target Prob: 0.5% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.0,0.34,0.0166,283293.0,81.8,28.3,65.0,100.0,100.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-0.44,37.89,9869.5,7126.19,66.4,65.4,26.4,7.3,28.0,48.8,0.56,Nifty Auto
BANDHANBNK,168.43,AVOID,44.1,0.31,3.7 days,74.9,Strong Revenue Growth (119.3%) | Low Leverage (D/E: 0.00) | Healthy Margins (13.0%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,3.2,MC Target Prob: 4.6% | Expected Horizon: 3.7d,0.05,0.48,-0.0187,32182.0,86.1,36.7,52.5,100.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-10.37,30.43,187.92,129.13,69.7,56.7,26.3,1.26,4.9,119.3,0.0,Nifty Private Bank
