Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name
ABB,5277.42,SELL,25.1,0.21,3.9 days,38.1,Low Leverage (D/E: 0.01) | Healthy Margins (22.3%),38.0,Constructive RSI (Neutral-Bullish),1.1,MC Target Prob: 1.6% | Expected Horizon: 3.9d,0.02,0.46,-0.0176,147446.0,81.8,56.7,25.0,67.5,100.0,100.0,YES,NO,YES,Confirmed Bounce,80.0,-21.45,8.23,6718.52,4876.16,62.7,42.1,95.2,18.82,0.0,0.8,0.01,Nifty Energy
ABREL,1668.6,SELL,6.9,0.06,3.5 days,-2.2,Average Fundamentals,20.0,Neutral Setup,4.8,MC Target Prob: 6.8% | Expected Horizon: 3.5d,0.07,0.52,-0.02,13206.0,84.5,100.0,35.0,30.0,65.0,100.0,YES,YES,YES,Confirmed Bounce,80.0,-33.25,6.37,2499.86,1568.7,37.0,30.2,0.0,3.57,-8.9,0.0,1.52,Nifty Realty
ADANIENSOL,1033.5,WAIT,51.2,0.39,3.5 days,56.3,Strong Revenue Growth (16.8%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,21.5,MC Target Prob: 9.3% | Model Predicts Positive Return | Expected Horizon: 3.5d,0.09,0.53,0.0037,188649.0,44.8,20.0,25.0,67.5,100.0,40.0,NO,NO,NO,None,0.0,-2.31,59.82,1057.9,646.65,66.9,49.3,84.3,7.42,9.7,16.8,1.95,Nifty Energy
ADANIGREEN,1019.2,AVOID,38.6,0.3,3.3 days,55.5,Healthy Margins (12.7%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,6.9,MC Target Prob: 9.8% | Expected Horizon: 3.3d,0.1,0.57,-0.0015,245512.0,84.2,50.0,25.0,90.0,100.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-11.54,32.61,1152.15,768.55,49.3,52.3,155.1,12.73,7.6,14.3,3.47,"Nifty Energy, Nifty Infra"
ADANIPORTS,1465.3,AVOID,47.2,0.34,3.9 days,85.0,Strong Revenue Growth (26.5%) | High ROE (15.6%) | Low Leverage (D/E: 0.64) | Healthy Margins (33.1%),38.0,Constructive RSI (Neutral-Bullish),17.2,MC Target Prob: 3.1% | Model Predicts Positive Return | Expected Horizon: 3.9d,0.03,0.44,0.0057,415865.0,85.5,51.7,55.0,67.5,85.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-4.26,39.83,1530.5,1047.95,42.7,58.7,31.0,4.33,15.6,26.5,0.64,Nifty Infra
ADANIPOWER,146.37,AVOID,41.7,0.31,3.4 days,63.9,High ROE (20.9%) | Low Leverage (D/E: 0.82) | Healthy Margins (23.7%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,7.2,MC Target Prob: 10.3% | Expected Horizon: 3.4d,0.1,0.53,-0.0011,435545.0,54.5,28.3,40.0,55.0,100.0,100.0,NO,NO,NO,None,0.0,-14.29,62.67,170.78,89.98,56.7,45.5,34.1,6.71,20.9,-0.1,0.82,Nifty Energy
AEGISLOG,749.0,AVOID,41.6,0.3,3.4 days,78.5,Strong Revenue Growth (52.2%) | High ROE (15.3%) | Low Leverage (D/E: 0.47) | Healthy Margins (10.8%),38.0,Constructive RSI (Neutral-Bullish),7.8,MC Target Prob: 11.2% | Expected Horizon: 3.4d,0.11,0.52,-0.0031,26520.0,83.8,46.7,40.0,100.0,65.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-21.47,19.05,953.83,629.17,59.5,54.3,29.5,4.46,15.3,52.2,0.47,Nifty Energy
AMBUJACEM,562.0,AVOID,40.8,0.29,4.0 days,67.8,Low Leverage (D/E: 0.01) | Healthy Margins (11.6%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.6,MC Target Prob: 0.9% | Expected Horizon: 4.0d,0.01,0.4,-0.0034,103194.0,89.5,38.3,80.0,80.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,70.0,-9.44,21.32,620.55,463.25,67.4,55.4,21.8,1.73,8.3,7.2,0.01,Nifty Infra
ANANTRAJ,591.55,WAIT,62.9,0.53,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,41.7,MC Target Prob: 16.7% | Model Predicts +2.4% (10d) | Expected Horizon: 3.3d,0.17,0.52,0.0244,18690.0,87.5,56.7,40.0,100.0,100.0,55.0,NO,YES,YES,Confirmed Bounce,80.0,-36.69,42.58,934.43,414.9,73.6,70.3,32.9,3.15,11.1,19.6,0.12,Nifty Realty
APOLLOHOSP,7437.63,WAIT,55.1,0.39,4.5 days,70.4,Strong Revenue Growth (18.1%) | High ROE (21.5%) | Low Leverage (D/E: 0.85),84.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope | Volume Breakout Detected,15.1,MC Target Prob: 0.1% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.26,0.0065,120182.0,82.8,38.3,25.0,100.0,100.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-7.05,23.2,8001.38,6036.85,76.6,63.4,61.8,12.67,21.5,18.1,0.85,Nifty Infra
